region,gov_p,cc,econ,location
Ab,7.5,8,7,south
Ba,7.5,4,3,south
Cl,1.5,1,3,south
Cm,2.5,2,6.5,south
Em,16,18,13,north
Fr,12,17,14.5,north
La,10,13,12.5,north
Li,11,16,15.5,north
Lo,11,17,19,north
Ma,9,15.5,10.5,north
Mo,6.5,3.5,2.5,south
Pi,13,15.5,17,north
Pu,5.5,3.5,4,south
Sa,5.5,8.5,8.5,south
Si,4.5,3.5,5.5,south
To,13,17.5,14.5,north
Tr,11,18,12.5,north
Um,15,15.5,11,north
Va,10,15,15,north
Ve,11,15,13.5,north
