,year,investment,consumption,capital,gdp
0,1971,0.33730795409889536,0.986201988524724,3.7,1.3235099426236192
1,1972,0.3334074575229219,1.044898803192336,3.9448079540988954,1.378306260715258
2,1973,0.13657416155559615,1.0529198735014267,4.179595212769344,1.189494035057023
3,1974,0.1613574421616283,1.0669362372042983,4.211679494005707,1.2282936793659267
4,1975,0.192033833099382,1.088271289549036,4.267744948817192,1.2803051226484181
5,1976,-0.18890728162921305,1.013837686903007,4.353085158196144,0.824930405273794
6,1977,0.18598194685819108,1.0349872314449795,4.055350747612028,1.2209691783031706
7,1978,-0.016899596350776404,1.004887651571161,4.139948925779918,0.9879880552203845
8,1979,0.3994026495771018,1.0796161226761574,4.019550606284644,1.479018772253259
9,1980,-0.3154258435087011,0.9737692587320781,4.3184644907046295,0.6583434152233769
10,1981,-0.2652704912252967,0.8831074044574521,3.895077034928313,0.6178369132321553
11,1982,0.048179537712426515,0.8730746037741224,3.5324296178298082,0.9212541414865489
12,1983,0.3145873882463155,0.9298945857413481,3.492298415096489,1.2444819739876636
13,1984,0.12351444802744167,0.9375258331046747,3.7195783429653924,1.0610402811321165
14,1985,0.12796071334212228,0.9460778656125883,3.750103332418699,1.0740385789547107
15,1986,0.49349831911961256,1.0458004987521767,3.7843114624503533,1.5392988178717892
16,1987,0.23702464143645569,1.0789116466424862,4.183201995008707,1.3159362880789418
17,1988,-0.1349395487126716,1.018203968298256,4.315646586569945,0.8832644195855843
18,1989,0.17302369269878853,1.0360047922654967,4.072815873193024,1.2090284849642852
19,1990,-0.26159753609445746,0.9447052884352448,4.144019169061987,0.6831077523407874
20,1991,0.3954331330221912,1.0199459394799115,3.7788211537409793,1.4153790725021027
21,1992,0.044707351416626386,1.0056241288470704,4.079783757919646,1.0503314802636967
22,1993,-0.15240450702355385,0.9423823988700051,4.022496515388282,0.7899778918464513
23,1994,0.38066937164080256,1.0139901818084556,3.7695295954800203,1.394659553449258
24,1995,0.3390841678327356,1.073411469221428,4.055960727233822,1.4124956370541637
25,1996,0.26410902721880003,1.1126034392955924,4.293645876885712,1.3767124665143924
26,1997,0.2633537314220808,1.1506267861687227,4.450413757182369,1.4139805175908036
27,1998,-0.08303234922547027,1.1011030292081372,4.602507144674891,1.0180706799826669
28,1999,-0.08775021174059212,1.0516379005427858,4.404412116832549,0.9638876888021937
29,2000,0.16955954348642682,1.0677368389008228,4.206551602171143,1.2372963823872496
30,2001,-0.3183778167928689,0.9614489637300849,4.270947355603291,0.643071146937216
31,2002,0.20504753069903056,0.9886746223115905,3.8457958549203397,1.193722153010621
32,2003,0.0360492269397529,0.972970063488739,3.9546984892463617,1.009019290428492
33,2004,0.5014758430565991,1.0740147726656701,3.8918802539549557,1.5754906157222692
34,2005,0.3339381770275189,1.130648947605908,4.2960590906626805,1.464587124633427
35,2006,0.2955690339187992,1.1762749823954601,4.522595790423632,1.4718440163142592
36,2007,-0.00246852014297243,1.1462509777998304,4.7050999295818405,1.143782457656858
37,2008,-0.03183411915148273,1.109636173566964,4.585003911199322,1.0778020544154812
38,2009,0.03670770139757806,1.0910721945771844,4.438544694267856,1.1277798959747625
39,2010,0.3957930149360992,1.1627436434467797,4.364288778308738,1.558536658382879
40,2011,-0.03716512097503415,1.1243837721168515,4.650974573787118,1.0872186511418174
41,2012,-0.2164860040938768,1.042152676790461,4.497535088467406,0.8256666726965842
42,2013,-0.03599140398051093,1.0071010088755716,4.168610707161844,0.9711096048950607
43,2014,0.33884302615259365,1.066634240191831,4.028404035502287,1.4054772663444246
44,2015,0.2237071735505367,1.0958951775746693,4.266536960767324,1.319602351125206
45,2016,0.11722866215037939,1.0978049636728975,4.383580710298677,1.2150336258232768
46,2017,-0.26993504891370873,1.002876077352648,4.39121985469159,0.7329410284389393
47,2018,-0.2653719277922081,0.9114611934707794,4.011504309410591,0.6460892656785713
48,2019,0.45302400752934935,1.0019306655163471,3.645844773883118,1.4549546730456964
49,2020,0.1499188633983361,1.0143621147280226,4.007722662065389,1.1642809781263588
