,year,investment,consumption,capital,gdp
0,1971,0.06271388906029127,0.9175534722650728,3.7,0.9802673613253641
1,1972,-0.14420851601449486,0.8585625064548221,3.670213889060291,0.7143539904403273
2,1973,-0.06638054855991742,0.8205033066534722,3.4342500258192885,0.7541227580935548
3,1974,0.300332861827199,0.875073939443935,3.2820132266138886,1.175406801271134
4,1975,-0.09354198605042052,0.8298115944452317,3.5002957577757403,0.7362696083948111
5,1976,0.5460473128830293,0.945578132804858,3.3192463777809262,1.4916254456878875
6,1977,0.23003333482633703,0.9794470131913208,3.7823125312194326,1.209480348017658
7,1978,0.3928804793502471,1.0531809576990996,3.9177880527652835,1.4460614370493468
8,1979,0.03946452036083716,1.0367175638468313,4.212723830796398,1.0761820842076686
9,1980,-0.26884101719402664,0.9435893704521539,4.146870255387325,0.6747483532581272
10,1981,-0.20045138527329112,0.8698867898725272,3.7743574818086154,0.6694354045992361
11,1982,-0.22317548298966852,0.7923457493782968,3.479547159490109,0.5691702663886283
12,1983,-0.05002654760196279,0.7600304687433487,3.1693829975131873,0.7100039211413859
13,1984,0.4599107917065739,0.8560074049514084,3.0401218749733947,1.3159181966579823
14,1985,0.5600755658754826,0.9746261112964938,3.4240296198056335,1.5347016771719764
15,1986,0.004485456520095088,0.9513818226441053,3.898504445185975,0.9558672791642004
16,1987,0.04890115305777236,0.9398225653424456,3.805527290576421,0.9887237184002179
17,1988,0.4035805579363759,1.0172221406929787,3.7592902613697827,1.4208026986293545
18,1989,0.4536715978597714,1.1052094866405968,4.068888562771914,1.5588810845003682
19,1990,0.2925061285927061,1.1507057816227584,4.420837946562387,1.4432119102154646
20,1991,0.0715806169762681,1.1398332913262563,4.6028231264910335,1.2114139083025244
21,1992,-0.3663355857680915,1.0197535626010774,4.559333165305026,0.653417976832986
22,1993,0.1455889939521681,1.0306569720240923,4.07901425040431,1.1762459659762605
23,1994,0.2546345139690184,1.0685491762157446,4.122627888096369,1.323183690184763
24,1995,0.047262552864235904,1.05365108502641,4.2741967048629785,1.100913637890646
25,1996,0.05528260316140567,1.0411304586911012,4.21460434010564,1.096413061852507
26,1997,0.2552711918528754,1.0789199951870423,4.164521834764404,1.3341911870399177
27,1998,0.11280989860809942,1.080149469959391,4.315679980748169,1.1929593685674904
28,1999,0.26973817396143096,1.120580276700764,4.320597879837564,1.3903184506621948
29,2000,0.10709719099797983,1.11934006753274,4.482321106803056,1.22643725853072
30,2001,-0.27169997360046727,1.0234315724443044,4.477360270130959,0.7517315988438371
31,2002,0.04608000327743147,1.0093657839525547,4.0937262897772175,1.0554457872299863
32,2003,0.16408264947629253,1.0251523017228137,4.037463135810218,1.1892349511991063
33,2004,0.26837318106232394,1.0666167894453242,4.100609206891255,1.3349899705076482
34,2005,-0.24601983954030002,0.9784464098241161,4.266467157781297,0.7324265702838161
35,2006,0.13124717723116577,0.9867970438863047,3.9137856392964645,1.1180442211174706
36,2007,0.0674158654312067,0.9789810841469485,3.9471881755452185,1.0463969495781553
37,2008,0.15520740027969815,0.9933084071131993,3.9159243365877945,1.1485158073928976
38,2009,-0.13424713293229545,0.9349139137022956,3.973233628452798,0.8006667807700001
39,2010,0.4468979612434471,1.0232655561706,3.7396556548091824,1.4701635174140473
40,2011,-0.09482389371471953,0.973977943837655,4.0930622246823996,0.8791540501229355
41,2012,-0.17466383759315524,0.9059625358434248,3.89591177535062,0.7312986982502696
42,2013,0.16491949936076722,0.9245433472875311,3.6238501433736996,1.0894628466482983
43,2014,-0.18248377740641358,0.8558088192537394,3.6981733891501243,0.6733250418473258
44,2015,0.11665876307936696,0.8635782895422377,3.4232352770149577,0.9802370526216047
45,2016,0.024750256688715756,0.8481763964758606,3.454313158168951,0.8729266531645764
46,2017,0.36192766398138587,0.9174539025593106,3.3927055859034425,1.2793815665406965
47,2018,0.3344882866555827,0.9781396266592235,3.6698156102372423,1.3126279133148062
48,2019,-0.12889406568626577,0.9214626195711764,3.912558506636894,0.7925685538849105
49,2020,0.1685511549292154,0.9405638428142009,3.685850478284706,1.1091149977434163
